appid,currency,initial,final,discount_pct,is_free
2186680,USD,4999,1999,60,0
2208920,USD,5999,5999,0,0
2212330,USD,499,499,0,0
2231380,USD,5999,5999,0,0
2273430,USD,1999,1999,0,0
2300320,USD,2999,2999,0,0
2322010,USD,5999,5999,0,0
2406770,USD,3332,3332,0,0
2679460,USD,6999,6999,0,0
2878980,USD,6999,6999,0,0
12110,USD,0,0,0,1
17470,USD,1999,1999,0,0
24010,USD,2999,2999,0,0
39140,USD,0,0,0,1
41070,USD,2999,2999,0,0
47810,USD,2999,2999,0,0
104900,USD,99,99,0,0
220440,USD,2999,449,85,0
230290,USD,2999,2999,0,0
238010,USD,1999,1999,0,0
238090,USD,2999,2999,0,0
248820,USD,999,999,0,0
278360,USD,1499,1499,0,0
282800,USD,699,699,0,0
287290,USD,1999,1999,0,0
288160,USD,499,499,0,0
292730,USD,5999,5999,0,0
324800,USD,2999,2999,0,0
335240,USD,0,0,0,1
337320,USD,1999,1999,0,0
339800,USD,999,999,0,0
368500,USD,2999,2999,0,0
373420,USD,3999,3999,0,0
418500,USD,2499,2499,0,0
444640,USD,0,0,0,1
459820,USD,0,0,0,1
460790,USD,1999,599,70,0
474960,USD,3999,3999,0,0
475550,USD,1399,1399,0,0
488790,USD,2999,2999,0,0
492720,USD,3999,3999,0,0
493490,USD,2499,2499,0,0
553640,USD,1099,384,65,0
557340,USD,1999,1999,0,0
569480,USD,1999,1999,0,0
571740,USD,899,899,0,0
582500,USD,0,0,0,1
585420,USD,2499,2499,0,0
601430,USD,3999,3999,0,0
622650,USD,1999,199,90,0
625960,USD,2499,2499,0,0
653530,USD,1999,1999,0,0
655500,USD,3499,3499,0,0
668630,USD,199,199,0,0
738060,USD,0,0,0,1
794260,USD,3999,3999,0,0
905370,USD,0,0,0,1
953490,USD,1999,1999,0,0
954850,USD,4999,4999,0,0
960170,USD,4999,4999,0,0
960990,USD,1999,1999,0,0
975370,USD,2999,2999,0,0
1049410,USD,1999,1999,0,0
1066780,USD,3999,3999,0,0
1124300,USD,4999,4999,0,0
1189490,USD,1499,1499,0,0
1189630,USD,3499,3499,0,0
1190000,USD,2499,2499,0,0
1211020,USD,2499,2499,0,0
1222730,USD,3999,3999,0,0
1252330,USD,5999,5999,0,0
1262580,USD,2999,2999,0,0
1284410,USD,0,0,0,1
1337520,USD,1499,1499,0,0
1388880,USD,1499,1499,0,0
1392820,USD,149,149,0,0
